Business,5
Business,4
Business,5
Business,5
Business,4
Business,4
Business,5
Business,4
Business,3
Business,4
Business,2
Business,2
Economy,5
Business,5
Economy,2
Economy,5
Economy,1
Economy,5
Economy,5
Economy,4
Economy,4
Economy,4
Economy,3
Economy Plus,4
Business,5
Business,5
Business,5
Business,5
Business,4
Business,4
Business,2
Economy,3
Business,2
Business,4
Business,5
Business,5
Business,4
Business,5
Business,4
Business,4
Business,4
Business,4
Business,4
Business,5
Business,4
Economy,4
Business,2
Business,4
Economy,3
Business,5
Business,5
Economy,5
Business,1
Business,4
Business,3
Business,4
Business,4
Business,5
Business,5
Business,5
Business,4
Economy,2
Business,4
Business,4
Economy,5
Business,3
Business,5
Business,3
Business,3
Business,4
Economy,3
Business,3
Economy,5
Economy,3
Economy,2
Economy,5
Economy,2
Economy,2
Economy,4
Economy,4
Economy,1
Economy,2
Economy,4
Economy,3
Economy,2
Economy,1
Economy,5
Economy,4
Economy,3
Business,4
Business,5
Business,4
Business,3
Economy Plus,1
Economy Plus,2
Economy Plus,3
Economy Plus,1
Business,5
Business,5
Economy,5
Business,4
Business,4
Business,5
Business,4
Business,5
Business,4
Business,5
Business,3
Business,1
Business,2
Business,5
Economy,2
Business,4
Business,4
Business,2
Business,4
Business,3
Business,4
Economy,2
Business,4
Economy,4
Economy,3
Economy,4
Economy,5
Economy,5
Economy,5
Economy,3
Economy,4
Economy,2
Business,4
Business,5
Business,2
Business,4
Business,5
Business,3
Business,4
Business,4
Business,4
Business,3
Business,4
Business,4
Business,5
Business,4
Business,5
Business,4
Business,5
Business,2
Business,3
Business,2
Economy,3
Business,5
Business,3
Business,4
Business,5
Business,5
Business,5
Business,4
Economy,2
Business,5
Economy,5
Economy,5
Economy,5
Economy,4
Economy,4
Economy,2
Economy,2
Economy,5
Economy,4
Economy,4
Economy,2
Business,5
Business,5
Business,4
Business,4
Business,5
Economy Plus,5
Economy Plus,1
Economy Plus,4
Business,4
Business,5
Business,4
Business,4
Business,2
Business,4
Business,3
Business,4
Business,5
Business,5
Business,5
Business,4
Business,2
Business,4
Business,4
Business,4
Business,5
Economy,1
Business,5
Business,3
Business,5
Business,4
Business,3
Business,5
Business,5
Business,3
Business,3
Business,3
Business,5
Business,5
Business,2
Economy,2
Economy,3
Business,2
Business,3
Business,5
Economy,4
Economy,3
Economy,5
Economy,2
Economy,2
Economy,3
Economy,3
Economy,1
Economy,5
Economy,2
Economy,3
Economy,2
Economy,5
Economy,4
Business,5
Business,2
Business,4
Business,4
Business,1
Economy Plus,3
Economy Plus,2
Business,2
Business,2
Business,5
Business,5
Business,5
Business,5
Business,1
Economy,1
Business,3
Business,3
Business,3
Business,4
Business,3
Economy,5
Economy,4
Economy,2
Economy Plus,3
Economy Plus,2
Economy Plus,1
Business,3
Business,2
Business,4
Business,5
Business,3
Business,3
Economy,2
Business,4
Business,3
Business,4
Business,5
Business,4
Business,5
Economy,3
Business,4
Business,5
Business,4
Business,2
